WeekLog7:Answers(10-05-13),SpanFromLeft
总回答数：11； 总支持数：42； 总反对数：0；平均支持数3.81818；,SpanFromLeft
Answer ID,Post Date,Vote-up,Vote-down,Title
482578,2013-05-06,11,0,Hyperlink["关于系外行星（Exoplanet）有哪些有用的网站？", {"http://www.guokr.com/question/461922/"}]
482571,2013-05-06,10,0,Hyperlink["系外行星（Exoplanet）的主要的发现手段是什么？", {"http://www.guokr.com/question/461917/"}]
483315,2013-05-07,6,0,Hyperlink["如果核聚变只能是平均核子质量变小，那么我们宇宙中的铁以上的重元素是怎么来的呢？", {"http://www.guokr.com/question/459449/"}]
482778,2013-05-06,5,0,Hyperlink["某个星座的流星雨是什么意思？", {"http://www.guokr.com/question/461999/"}]
484927,今天,4,0,Hyperlink["夏天来了，网上不少帖子说穿红色衣服更能吸收紫外线，因为红色光波离紫外线是可见光中最远的，这种说法貌似有理，求真相？", {"http://www.guokr.com/question/462722/"}]
483786,2013-05-08,3,0,Hyperlink["各个国家的法定结婚年龄是什么样的？", {"http://www.guokr.com/question/462416/"}]
482064,2013-05-05,2,0,Hyperlink["如果知道出租车的GPS，做数据挖掘，能得到什么？", {"http://www.guokr.com/question/457924/"}]
482711,2013-05-06,1,0,Hyperlink["为什么我求出来的这个积分式子的两组上下限最后得出的结果不同呢？", {"http://www.guokr.com/question/461981/"}]
485034,今天,0,0,Hyperlink["如何找到落在地球上的陨石的记录呢？", {"http://www.guokr.com/question/462848/"}]
482790,2013-05-06,0,0,Hyperlink["流星雨有哪些观测方法？", {"http://www.guokr.com/question/462000/"}]
482061,2013-05-05,0,0,Hyperlink["为什么石子或水滴击打水面形成的水波往外越来越小？", {"http://www.guokr.com/question/454083/"}]